date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:51:04	70856/70856	---MCZ	200	added ('OK')	application/font-woff	etag:W/%223fd233b6831dfcb1d57b957d521e7cb6%22	https://frvr.com/tutorials/assets/open-sans-all-400-normal.17d899f5.woff	C:/My%20Web%20Sites/gold/frvr.com/tutorials/assets/open-sans-all-400-normal.17d899f5.woff	(from https://frvr.com/tutorials/assets/basketball.61a5c92f.css)
00:51:04	10652/10652	---M--	200	added ('OK')	application/octet-stream	etag:%22c010b23b2704126796a794818ca777fb%22	https://frvr.com/tutorials/assets/open-sans-cyrillic-400-normal.624b7132.woff2	C:/My%20Web%20Sites/gold/frvr.com/tutorials/assets/open-sans-cyrillic-400-normal.624b7132.woff2	(from https://frvr.com/tutorials/assets/basketball.61a5c92f.css)
00:51:04	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2005%20Mar%202023%2005:51:04%20GMT	https://frvr.com/support	C:/My%20Web%20Sites/gold/frvr.com/support	(from https://frvr.com/tutorials/index.html)
00:51:05	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2005%20Mar%202023%2005:51:04%20GMT	https://frvr.com/support	C:/My%20Web%20Sites/gold/frvr.com/support	(from https://frvr.com/tutorials/index.html)
00:51:05	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2005%20Mar%202023%2005:51:04%20GMT	https://frvr.com/support	C:/My%20Web%20Sites/gold/frvr.com/support	(from https://frvr.com/tutorials/troubleshooting/index.html)
00:51:05	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2005%20Mar%202023%2005:51:04%20GMT	https://frvr.com/support	C:/My%20Web%20Sites/gold/frvr.com/support	(from https://frvr.com/tutorials/troubleshooting/index.html)
00:51:06	65470/65470	---M--	200	added ('OK')	image/png	etag:%2201f0bc7f98d659cd571bb215253e2293%22	https://frvr.com/tutorials/basketball/basketball%20ball%20skins.png	C:/My%20Web%20Sites/gold/frvr.com/tutorials/basketball/basketball%20ball%20skins.png	(from https://frvr.com/tutorials/basketball/index.html)
00:51:07	261970/261970	---M--	200	added ('OK')	image/png	etag:%22c17a6a69799bec3e8a1a9be331da2e4b%22	https://frvr.com/tutorials/basketball/basketball%20coins.png	C:/My%20Web%20Sites/gold/frvr.com/tutorials/basketball/basketball%20coins.png	(from https://frvr.com/tutorials/basketball/index.html)
00:51:07	2339687/2339687	---M--	200	added ('OK')	image/gif	etag:%22c030af82fda1a1baf9275cef5a903c49%22	https://frvr.com/tutorials/basketball/basketball%20how%20to%20play.gif	C:/My%20Web%20Sites/gold/frvr.com/tutorials/basketball/basketball%20how%20to%20play.gif	(from https://frvr.com/tutorials/basketball/index.html)
00:51:07	321003/321003	---M--	200	added ('OK')	image/png	etag:%22135cb4b83391267d902a93e0445db4df%22	https://frvr.com/tutorials/basketball/basketball%20powerups.png	C:/My%20Web%20Sites/gold/frvr.com/tutorials/basketball/basketball%20powerups.png	(from https://frvr.com/tutorials/basketball/index.html)
00:51:07	317611/317611	---M--	200	added ('OK')	image/png	etag:%229646eabf0fb59c002e1c6798e85ff0ae%22	https://frvr.com/tutorials/basketball/basketball%20powerups2.png	C:/My%20Web%20Sites/gold/frvr.com/tutorials/basketball/basketball%20powerups2.png	(from https://frvr.com/tutorials/basketball/index.html)
00:51:07	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2005%20Mar%202023%2005:51:06%20GMT	https://frvr.com/support	C:/My%20Web%20Sites/gold/frvr.com/support	(from https://frvr.com/tutorials/basketball/index.html)
00:51:07	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2005%20Mar%202023%2005:51:06%20GMT	https://frvr.com/support	C:/My%20Web%20Sites/gold/frvr.com/support	(from https://frvr.com/tutorials/basketball/index.html)
00:51:08	23924/23924	---M--	200	added ('OK')	image/png	etag:%22d5d76555d504bfe8cd9b4325a02bd4a5%22	https://frvr.com/tutorials/golddigger/gd%20icons.png	C:/My%20Web%20Sites/gold/frvr.com/tutorials/golddigger/gd%20icons.png	(from https://frvr.com/tutorials/golddigger/index.html)
00:51:08	51681/51681	---M--	200	added ('OK')	image/png	etag:%220f5d4c3255e1f92824bdd5a77c59d97a%22	https://frvr.com/tutorials/golddigger/gd%20top%20icons.png	C:/My%20Web%20Sites/gold/frvr.com/tutorials/golddigger/gd%20top%20icons.png	(from https://frvr.com/tutorials/golddigger/index.html)
00:51:08	15220/15220	---M--	200	added ('OK')	image/png	etag:%226b8bd6d2a7e3860ea98c8ae339c629aa%22	https://frvr.com/tutorials/golddigger/gd%20character%20level.png	C:/My%20Web%20Sites/gold/frvr.com/tutorials/golddigger/gd%20character%20level.png	(from https://frvr.com/tutorials/golddigger/index.html)
00:51:09	144068/144068	---M--	200	added ('OK')	image/png	etag:%2296a7209724be93f54dfca4eba5d56fe6%22	https://frvr.com/tutorials/golddigger/gd%20skill%20levels.png	C:/My%20Web%20Sites/gold/frvr.com/tutorials/golddigger/gd%20skill%20levels.png	(from https://frvr.com/tutorials/golddigger/index.html)
00:51:09	18967/18967	---M--	200	added ('OK')	image/png	etag:%2207e0810f046762d9bd2e0fac94d677ed%22	https://frvr.com/tutorials/golddigger/gem.png	C:/My%20Web%20Sites/gold/frvr.com/tutorials/golddigger/gem.png	(from https://frvr.com/tutorials/golddigger/index.html)
00:51:09	2235805/2235805	---M--	200	added ('OK')	image/gif	etag:%221f920fdbc21cb23bc0b048cd07bed8e1%22	https://frvr.com/tutorials/golddigger/gd%20how%20to%20play.gif	C:/My%20Web%20Sites/gold/frvr.com/tutorials/golddigger/gd%20how%20to%20play.gif	(from https://frvr.com/tutorials/golddigger/index.html)
00:51:09	14654/14654	---M--	200	added ('OK')	image/png	etag:%22c7a04531f06d0239444bedb74d9e1985%22	https://frvr.com/tutorials/golddigger/gd%20bonus.png	C:/My%20Web%20Sites/gold/frvr.com/tutorials/golddigger/gd%20bonus.png	(from https://frvr.com/tutorials/golddigger/index.html)
00:51:09	94247/94247	---M--	200	added ('OK')	image/png	etag:%22dd20e9785ba51a25a42a178f7ee05592%22	https://frvr.com/tutorials/golddigger/building-shoptools.png	C:/My%20Web%20Sites/gold/frvr.com/tutorials/golddigger/building-shoptools.png	(from https://frvr.com/tutorials/golddigger/index.html)
00:51:09	119766/119766	---M--	200	added ('OK')	image/png	etag:%22f4055762a26b1f1640bd67d9ab368200%22	https://frvr.com/tutorials/golddigger/building-pawnshop.png	C:/My%20Web%20Sites/gold/frvr.com/tutorials/golddigger/building-pawnshop.png	(from https://frvr.com/tutorials/golddigger/index.html)
